date,montant,libelle
2024-01-01,2800.00,VIREMENT SALAIRE JANVIER
2024-01-02,-850.00,VIREMENT LOYER JANVIER
2024-01-03,-65.00,CARREFOUR MARKET
2024-01-04,-9.99,NETFLIX
2024-01-05,-9.99,SPOTIFY
2024-01-06,-32.50,TOTAL STATION SERVICE
2024-01-07,-45.00,EDF FACTURE ELECTRICITE
2024-01-08,-28.00,ORANGE FACTURE MOBILE
2024-01-09,-15.00,AMAZON PRIME
2024-01-10,-82.30,LECLERC COURSES
2024-01-11,-12.50,MCDONALDS
2024-01-12,-38.00,PHARMACIE CENTRALE
2024-01-13,-55.00,DECATHLON
2024-01-14,-120.00,SNCF BILLET PARIS
2024-01-15,-18.50,RESTAU LE PETIT BISTROT
2024-01-16,-76.00,LIDL COURSES
2024-01-17,-49.00,FNAC LIVRE
2024-01-18,-25.00,CANAL PLUS
2024-01-19,-150.00,MUTUELLE SANTE
2024-01-20,-35.00,ESSENCE BP
2024-01-21,-22.00,HAPPY PIZZA
2024-01-22,-90.00,IKEA
2024-01-23,-12.00,PARKING CENTRE VILLE
2024-01-24,-8.50,BOULANGERIE DU COIN
2024-01-25,150.00,REMBOURSEMENT CPAM
2024-01-26,-43.00,AUCHAN COURSES
2024-01-27,-19.99,DISNEY PLUS
2024-01-28,-200.00,ASSURANCE AUTO
2024-01-29,-15.00,TABAC PRESSE
2024-01-30,-67.00,ZARA VETEMENTS
2024-02-01,2800.00,VIREMENT SALAIRE FEVRIER
2024-02-02,-850.00,VIREMENT LOYER FEVRIER
2024-02-03,-54.00,INTERMARCHE COURSES
2024-02-04,-32.00,TOTAL ESSENCE
2024-02-05,-9.99,NETFLIX
2024-02-06,-9.99,SPOTIFY
2024-02-07,-78.00,EDF FACTURE
2024-02-08,-28.00,ORANGE FACTURE
2024-02-09,-88.00,MONOPRIX COURSES
2024-02-10,-24.00,RESTO JAPONAIS
2024-02-11,-45.00,PHARMACIE
2024-02-12,-110.00,VETEMENTS H&M
2024-02-13,-35.00,ESSENCE SHELL
2024-02-14,-65.00,RESTAU ST VALENTIN
2024-02-15,-15.00,AMAZON PRIME
2024-02-16,-150.00,MUTUELLE SANTE
2024-02-17,-42.00,LECLERC COURSES
2024-02-18,200.00,VIREMENT RECU AMI
2024-02-19,-55.00,SNCF BILLET
2024-02-20,-18.00,CINEMA UGC
2024-02-21,-92.00,LIDL COURSES
2024-02-22,-25.00,CANAL PLUS
2024-02-23,-8.00,BOULANGERIE
2024-02-24,-300.00,REPARATION VOITURE
2024-02-25,-19.99,DISNEY PLUS
2024-02-26,-12.00,PARKING
2024-02-27,-38.00,AUCHAN COURSES
2024-02-28,-22.00,PIZZA HUT
2024-03-01,2800.00,VIREMENT SALAIRE MARS
2024-03-02,-850.00,VIREMENT LOYER MARS
2024-03-03,-72.00,CARREFOUR COURSES
2024-03-04,-9.99,NETFLIX
2024-03-05,-9.99,SPOTIFY
2024-03-06,-45.00,EDF FACTURE
2024-03-07,-28.00,ORANGE FACTURE
2024-03-08,-35.00,ESSENCE TOTAL
2024-03-09,-15.00,AMAZON PRIME
2024-03-10,-88.00,LECLERC COURSES
2024-03-11,-150.00,MUTUELLE SANTE
2024-03-12,-25.00,CANAL PLUS
2024-03-13,-19.99,DISNEY PLUS
2024-03-14,-55.00,FNAC ELECTROMENAGER
2024-03-15,-18.00,RESTAU ITALIEN
2024-03-16,-42.00,LIDL COURSES
2024-03-17,-12.00,PARKING
2024-03-18,-8.00,BOULANGERIE
2024-03-19,350.00,REMBOURSEMENT IMPOTS
2024-03-20,-67.00,ZARA VETEMENTS
2024-03-21,-32.00,ESSENCE BP
2024-03-22,-95.00,INTERMARCHE COURSES
2024-03-23,-22.00,HAPPY PIZZA
2024-03-24,-180.00,BILLET AVION VACANCES
2024-03-25,-75.00,HOTEL BOOKING
2024-03-26,-48.00,AMAZON COMMANDE
2024-03-27,-15.00,TABAC PRESSE
2024-03-28,-28.00,CINEMA
2024-03-29,-110.00,VETEMENTS NIKE
2024-03-30,100.00,VIREMENT RECU FAMILLE
2024-03-31,-38.00,PHARMACIE
2024-04-01,2800.00,VIREMENT SALAIRE AVRIL
2024-04-02,-850.00,VIREMENT LOYER AVRIL
2024-04-03,-62.00,CARREFOUR MARKET
2024-04-04,-9.99,NETFLIX
2024-04-05,-9.99,SPOTIFY
2024-04-06,-40.00,TOTAL ESSENCE
2024-04-07,-48.00,EDF FACTURE
2024-04-08,-28.00,ORANGE FACTURE
2024-04-09,-15.00,AMAZON PRIME
2024-04-10,-75.00,LECLERC COURSES
2024-04-11,-150.00,MUTUELLE SANTE
2024-04-12,-25.00,CANAL PLUS
2024-04-13,-19.99,DISNEY PLUS
2024-04-14,-35.00,ESSENCE SHELL
2024-04-15,-22.00,MCDONALDS
2024-04-16,-85.00,LIDL COURSES
2024-04-17,-12.00,PARKING
2024-04-18,-8.00,BOULANGERIE
2024-04-19,-45.00,PHARMACIE
2024-04-20,-130.00,VETEMENTS UNIQLO
2024-04-21,-18.00,RESTAU THAI
2024-04-22,-55.00,AMAZON COMMANDE
2024-04-23,-32.00,IKEA ACCESSOIRES
2024-04-24,500.00,REMBOURSEMENT ASSURANCE
2024-04-25,-42.00,AUCHAN COURSES
2024-04-26,-15.00,TABAC PRESSE
2024-04-27,-28.00,CINEMA PATHE
2024-04-28,-75.00,SNCF BILLET
2024-04-29,-22.00,PIZZA EXPRESS
2024-04-30,-38.00,PHARMACIE
2024-05-01,2800.00,VIREMENT SALAIRE MAI
2024-05-02,-850.00,VIREMENT LOYER MAI
2024-05-03,-58.00,CARREFOUR COURSES
2024-05-04,-9.99,NETFLIX
2024-05-05,-9.99,SPOTIFY
2024-05-06,-38.00,ESSENCE BP
2024-05-07,-52.00,EDF FACTURE
2024-05-08,-28.00,ORANGE FACTURE
2024-05-09,-15.00,AMAZON PRIME
2024-05-10,-92.00,LECLERC COURSES
2024-05-11,-150.00,MUTUELLE SANTE
2024-05-12,-25.00,CANAL PLUS
2024-05-13,-19.99,DISNEY PLUS
2024-05-14,-45.00,PHARMACIE
2024-05-15,-18.00,RESTAU MEXICAIN
2024-05-16,-78.00,LIDL COURSES
2024-05-17,-12.00,PARKING
2024-05-18,-8.00,BOULANGERIE
2024-05-19,-65.00,DECATHLON SPORT
2024-05-20,-35.00,ESSENCE TOTAL
2024-05-21,-22.00,BURGER KING
2024-05-22,-48.00,AMAZON COMMANDE
2024-05-23,-200.00,BILLET AVION
2024-05-24,-95.00,HOTEL
2024-05-25,-42.00,INTERMARCHE COURSES
2024-05-26,-15.00,TABAC PRESSE
2024-05-27,-28.00,CINEMA UGC
2024-05-28,-85.00,VETEMENTS PULL AND BEAR
2024-05-29,-22.00,DOMINOS PIZZA
2024-05-30,150.00,REMBOURSEMENT CPAM
2024-05-31,-38.00,PHARMACIE
2024-06-01,2800.00,VIREMENT SALAIRE JUIN
2024-06-02,-850.00,VIREMENT LOYER JUIN
2024-06-03,-68.00,CARREFOUR MARKET
2024-06-04,-9.99,NETFLIX
2024-06-05,-9.99,SPOTIFY
2024-06-06,-42.00,TOTAL ESSENCE
2024-06-07,-55.00,EDF FACTURE
2024-06-08,-28.00,ORANGE FACTURE
2024-06-09,-15.00,AMAZON PRIME
2024-06-10,-88.00,LECLERC COURSES
2024-06-11,-150.00,MUTUELLE SANTE
2024-06-12,-25.00,CANAL PLUS
2024-06-13,-19.99,DISNEY PLUS
2024-06-14,-35.00,ESSENCE SHELL
2024-06-15,-18.00,RESTAU LIBANAIS
2024-06-16,-72.00,LIDL COURSES
2024-06-17,-12.00,PARKING
2024-06-18,-8.00,BOULANGERIE
2024-06-19,-45.00,PHARMACIE
2024-06-20,-250.00,VACANCES AIRBNB
2024-06-21,-85.00,COURSES VACANCES
2024-06-22,-32.00,RESTAURANT VACANCES
2024-06-23,-28.00,ACTIVITE TOURISTIQUE
2024-06-24,-15.00,GLACES ET BOISSONS
2024-06-25,100.00,VIREMENT RECU FAMILLE
2024-06-26,-42.00,AUCHAN COURSES
2024-06-27,-15.00,TABAC PRESSE
2024-06-28,-28.00,CINEMA
2024-06-29,-55.00,AMAZON COMMANDE
2024-06-30,-38.00,PHARMACIE
2024-07-01,2800.00,VIREMENT SALAIRE JUILLET
2024-07-02,-850.00,VIREMENT LOYER JUILLET
2024-07-03,-75.00,CARREFOUR COURSES
2024-07-04,-9.99,NETFLIX
2024-07-05,-9.99,SPOTIFY
2024-07-06,-45.00,ESSENCE BP
2024-07-07,-48.00,EDF FACTURE
2024-07-08,-28.00,ORANGE FACTURE
2024-07-09,-15.00,AMAZON PRIME
2024-07-10,-95.00,LECLERC COURSES
2024-07-11,-150.00,MUTUELLE SANTE
2024-07-12,-25.00,CANAL PLUS
2024-07-13,-19.99,DISNEY PLUS
2024-07-14,-35.00,ESSENCE TOTAL
2024-07-15,-22.00,MCDONALDS
2024-07-16,-82.00,LIDL COURSES
2024-07-17,-12.00,PARKING
2024-07-18,-8.00,BOULANGERIE
2024-07-19,-300.00,BILLET AVION VACANCES ETE
2024-07-20,-450.00,HOTEL VACANCES ETE
2024-07-21,-120.00,COURSES VACANCES ETE
2024-07-22,-65.00,RESTAURANTS VACANCES
2024-07-23,-45.00,ACTIVITES VACANCES
2024-07-24,-38.00,SOUVENIRS
2024-07-25,-15.00,TABAC PRESSE
2024-07-26,-45.00,PHARMACIE
2024-07-27,-42.00,INTERMARCHE COURSES
2024-07-28,-28.00,CINEMA
2024-07-29,-22.00,PIZZA HUT
2024-07-30,200.00,REMBOURSEMENT ASSURANCE VOYAGE
2024-07-31,-38.00,PHARMACIE
2024-08-01,2800.00,VIREMENT SALAIRE AOUT
2024-08-02,-850.00,VIREMENT LOYER AOUT
2024-08-03,-62.00,CARREFOUR MARKET
2024-08-04,-9.99,NETFLIX
2024-08-05,-9.99,SPOTIFY
2024-08-06,-38.00,TOTAL ESSENCE
2024-08-07,-52.00,EDF FACTURE
2024-08-08,-28.00,ORANGE FACTURE
2024-08-09,-15.00,AMAZON PRIME
2024-08-10,-78.00,LECLERC COURSES
2024-08-11,-150.00,MUTUELLE SANTE
2024-08-12,-25.00,CANAL PLUS
2024-08-13,-19.99,DISNEY PLUS
2024-08-14,-42.00,ESSENCE SHELL
2024-08-15,-18.00,RESTAU SUSHI
2024-08-16,-85.00,LIDL COURSES
2024-08-17,-12.00,PARKING
2024-08-18,-8.00,BOULANGERIE
2024-08-19,-45.00,PHARMACIE
2024-08-20,-75.00,DECATHLON
2024-08-21,-35.00,ESSENCE BP
2024-08-22,-22.00,BURGER KING
2024-08-23,-55.00,AMAZON COMMANDE
2024-08-24,-15.00,TABAC PRESSE
2024-08-25,-28.00,CINEMA UGC
2024-08-26,-42.00,AUCHAN COURSES
2024-08-27,-110.00,VETEMENTS ZARA
2024-08-28,-22.00,DOMINOS PIZZA
2024-08-29,150.00,REMBOURSEMENT CPAM
2024-08-30,-38.00,PHARMACIE
2024-08-31,-65.00,INTERMARCHE COURSES
2024-09-01,2800.00,VIREMENT SALAIRE SEPTEMBRE
2024-09-02,-850.00,VIREMENT LOYER SEPTEMBRE
2024-09-03,-72.00,CARREFOUR COURSES
2024-09-04,-9.99,NETFLIX
2024-09-05,-9.99,SPOTIFY
2024-09-06,-40.00,ESSENCE TOTAL
2024-09-07,-55.00,EDF FACTURE
2024-09-08,-28.00,ORANGE FACTURE
2024-09-09,-15.00,AMAZON PRIME
2024-09-10,-88.00,LECLERC COURSES
2024-09-11,-150.00,MUTUELLE SANTE
2024-09-12,-25.00,CANAL PLUS
2024-09-13,-19.99,DISNEY PLUS
2024-09-14,-35.00,ESSENCE SHELL
2024-09-15,-18.00,RESTAU INDIEN
2024-09-16,-75.00,LIDL COURSES
2024-09-17,-12.00,PARKING
2024-09-18,-8.00,BOULANGERIE
2024-09-19,-45.00,PHARMACIE
2024-09-20,-200.00,ASSURANCE AUTO ANNUELLE
2024-09-21,-32.00,ESSENCE BP
2024-09-22,-95.00,INTERMARCHE COURSES
2024-09-23,-22.00,MCDONALDS
2024-09-24,-55.00,FNAC ELECTROMENAGER
2024-09-25,-15.00,TABAC PRESSE
2024-09-26,-28.00,CINEMA PATHE
2024-09-27,-42.00,AUCHAN COURSES
2024-09-28,-85.00,VETEMENTS H&M
2024-09-29,-22.00,PIZZA EXPRESS
2024-09-30,100.00,VIREMENT RECU AMI
2024-10-01,2800.00,VIREMENT SALAIRE OCTOBRE
2024-10-02,-850.00,VIREMENT LOYER OCTOBRE
2024-10-03,-68.00,CARREFOUR MARKET
2024-10-04,-9.99,NETFLIX
2024-10-05,-9.99,SPOTIFY
2024-10-06,-38.00,TOTAL ESSENCE
2024-10-07,-50.00,EDF FACTURE
2024-10-08,-28.00,ORANGE FACTURE
2024-10-09,-15.00,AMAZON PRIME
2024-10-10,-82.00,LECLERC COURSES
2024-10-11,-150.00,MUTUELLE SANTE
2024-10-12,-25.00,CANAL PLUS
2024-10-13,-19.99,DISNEY PLUS
2024-10-14,-42.00,ESSENCE SHELL
2024-10-15,-18.00,RESTAU VIETNAMIEN
2024-10-16,-78.00,LIDL COURSES
2024-10-17,-12.00,PARKING
2024-10-18,-8.00,BOULANGERIE
2024-10-19,-45.00,PHARMACIE
2024-10-20,-65.00,DECATHLON
2024-10-21,-35.00,ESSENCE BP
2024-10-22,-22.00,HAPPY PIZZA
2024-10-23,-48.00,AMAZON COMMANDE
2024-10-24,-15.00,TABAC PRESSE
2024-10-25,-28.00,CINEMA UGC
2024-10-26,-42.00,AUCHAN COURSES
2024-10-27,-120.00,VETEMENTS UNIQLO
2024-10-28,-22.00,BURGER KING
2024-10-29,350.00,REMBOURSEMENT IMPOTS
2024-10-30,-38.00,PHARMACIE
2024-10-31,-55.00,INTERMARCHE COURSES
2024-11-01,2800.00,VIREMENT SALAIRE NOVEMBRE
2024-11-02,-850.00,VIREMENT LOYER NOVEMBRE
2024-11-03,-75.00,CARREFOUR COURSES
2024-11-04,-9.99,NETFLIX
2024-11-05,-9.99,SPOTIFY
2024-11-06,-45.00,ESSENCE TOTAL
2024-11-07,-55.00,EDF FACTURE
2024-11-08,-28.00,ORANGE FACTURE
2024-11-09,-15.00,AMAZON PRIME
2024-11-10,-92.00,LECLERC COURSES
2024-11-11,-150.00,MUTUELLE SANTE
2024-11-12,-25.00,CANAL PLUS
2024-11-13,-19.99,DISNEY PLUS
2024-11-14,-35.00,ESSENCE SHELL
2024-11-15,-18.00,RESTAU GREC
2024-11-16,-85.00,LIDL COURSES
2024-11-17,-12.00,PARKING
2024-11-18,-8.00,BOULANGERIE
2024-11-19,-45.00,PHARMACIE
2024-11-20,-250.00,BLACK FRIDAY AMAZON
2024-11-21,-180.00,BLACK FRIDAY FNAC
2024-11-22,-95.00,BLACK FRIDAY ZARA
2024-11-23,-42.00,INTERMARCHE COURSES
2024-11-24,-15.00,TABAC PRESSE
2024-11-25,-28.00,CINEMA PATHE
2024-11-26,-55.00,AMAZON COMMANDE
2024-11-27,-22.00,PIZZA HUT
2024-11-28,200.00,REMBOURSEMENT CPAM
2024-11-29,-38.00,PHARMACIE
2024-11-30,-65.00,AUCHAN COURSES
2024-12-01,2800.00,VIREMENT SALAIRE DECEMBRE
2024-12-02,-850.00,VIREMENT LOYER DECEMBRE
2024-12-03,-85.00,CARREFOUR MARKET
2024-12-04,-9.99,NETFLIX
2024-12-05,-9.99,SPOTIFY
2024-12-06,-48.00,TOTAL ESSENCE
2024-12-07,-60.00,EDF FACTURE
2024-12-08,-28.00,ORANGE FACTURE
2024-12-09,-15.00,AMAZON PRIME
2024-12-10,-95.00,LECLERC COURSES
2024-12-11,-150.00,MUTUELLE SANTE
2024-12-12,-25.00,CANAL PLUS
2024-12-13,-19.99,DISNEY PLUS
2024-12-14,-42.00,ESSENCE SHELL
2024-12-15,-18.00,RESTAU NOEL
2024-12-16,-88.00,LIDL COURSES
2024-12-17,-12.00,PARKING
2024-12-18,-8.00,BOULANGERIE
2024-12-19,-45.00,PHARMACIE
2024-12-20,-200.00,CADEAUX NOEL AMAZON
2024-12-21,-150.00,CADEAUX NOEL FNAC
2024-12-22,-85.00,REPAS NOEL COURSES
2024-12-23,-120.00,VETEMENTS NOEL
2024-12-24,-65.00,REVEILLON RESTAURANT
2024-12-25,500.00,VIREMENT CADEAU FAMILLE
2024-12-26,-42.00,INTERMARCHE COURSES
2024-12-27,-15.00,TABAC PRESSE
2024-12-28,-28.00,CINEMA
2024-12-29,-55.00,AMAZON COMMANDE
2024-12-30,-22.00,PIZZA REVEILLON
2024-12-31,-38.00,PHARMACIE